Ordinal,Make,Model,Year,Nickname,Division,Country,PI,S,B,H,A,Pwr kW, Pwr PS,Pwr hp,Mass kg,Mass lb,Trq N.m,Trq ft-lb,Drvtr.,Eng.pos.,Dsp.,Cfg.,Cyl.,Ind.,Type,Doors,Topless,Steer.pos.
2740,Abarth,124 Spider,2017,Abarth 124 '17,Modern Sport Compact,ITA,360,2.1,2.3,2.4,2.2,123,167,165,1124,2478,250,184,RWD,F,1.4,I,4,T,Factory,2,True,L,Door23
3420,Acura,#6 ARX-05 DPi,2020,Acura #6 ARX-05,Forza Proto-H,USA,943,6,9.5,9.6,7.7,447,608,599,986,2174,678,500,RWD,MR,3.5,V,6,TT,Race,2,False,L,Door23
3240,Acura,#36 NSX GT3,2018,Acura #36 NSX,Forza GT,USA,819,4.7,6.7,6.9,6.3,389,529,522,1320,2910,550,406,RWD,MR,3.5,V,6,TT,Race,2,False,L,Door23
2352,Acura,NSX,2017,Acura NSX '17,Modern Sport GT,USA,731,5.2,3.8,3.3,6.1,427,581,573,1725,3803,845,623,AWD,MR,3.5,V,6,TT,Factory,2,False,L,Door23
368,Acura,Integra Type R,2001,Acura ITR '01,Early Sport Compact,USA,338,3.3,1.5,1.9,2,145,197,194,1197,2639,176,130,FWD,F,1.8,I,4,NA,Factory,2,False,L,Door23
2542,Alfa Romeo,Giulia Quadrifoglio,2017,Alfa Giulia '17,Modern Sport Touring,ITA,632,5.8,3.5,3.1,4.5,377,513,506,1734,3823,600,443,RWD,F,2.9,V,6,TT,Factory,4,False,L,Door45
2038,Alfa Romeo,4C,2014,Alfa Romeo 4C,Modern Sport Coupe,ITA,522,3.1,2.9,3.1,3.5,179,243,240,1128,2487,323,238,RWD,MR,1.7,I,4,T,Factory,2,False,L,Door23
1325,Alfa Romeo,Giulietta Quadrifoglio Verde,2011,AR Giulietta 11,Modern Hot Hatch,ITA,387,2.8,1.8,2.1,2.4,172,234,231,1320,2910,340,251,FWD,F,1.7,I,4,T,Factory,2,False,L,Door23
1150,Alfa Romeo,Giulia Sprint GTA Stradale,1965,AR GTA '65,Vintage Sport Compact,ITA,263,1,1,1,1.8,86,117,115,794,1750,142,105,RWD,F,1.6,I,4,NA,Factory,2,False,L,Door23
2973,Alpine,A110,2017,Alpine A110 '17,Modern Sport Coupe,FRA,570,3.7,2.9,3.1,4.2,185,252,248,1103,2432,320,236,RWD,MR,1.8,I,4,T,Factory,2,False,L,Door23
2426,Alpine,GTA Le Mans,1990,Alpine GTA '90,Sport Touring Classics,FRA,374,2.7,2,2.3,2.4,147,200,197,1190,2624,290,214,RWD,R,2.5,V,6,T,Factory,2,False,L,Door23
1267,AMC,Javelin AMX,1971,AMC Javelin '71,Vintage Muscle,USA,357,1,1.2,1.3,2.4,246,334,330,1563,3446,583,430,RWD,F,3.4,V,8,NA,Factory,2,False,L,Door23
1572,AMC,Rebel 'The Machine',1970,AMC Rebel '70,Street Drag Racers,USA,339,1.9,1.1,1,2.6,254,345,341,1656,3651,579,427,RWD,F,6.4,V,8,NA,Factory,2,False,L,Door23
3141,Apollo,Intensa Emozione,2018,Apollo IE '18,Modern Hypercars,GER,906,6.6,7.2,7.1,7.7,582,791,780,1250,2756,759,560,RWD,MR,6.3,V,12,NA,Factory,2,False,R,Door23
1651,Ariel,Atom 500 V8,2013,Ariel Atom '13,Track Toys,GBR,794,3.7,5.4,5.2,7.8,354,481,475,650,1433,363,268,RWD,MR,3,V,8,NA,Factory,0,True,R,Open
2968,Aston Martin,Valkyrie,2023,AM Valkyrie '23,Modern Hypercars,GBR,999,7.4,10,9.8,9,850,1156,1140,1030,2271,900,664,RWD,MR,6.5,V,12,NA,Factory,2,False,R,Door23
3631,Aston Martin,Valkyrie AMR Pro,2022,AM AMR Pro '22,Modern Factory Racecars,GBR,999,8.1,10,10,10,746,1014,1000,1000,2205,740,546,RWD,MR,6.5,V,12,NA,Race,2,False,R,Door23
3185,Aston Martin,DBS Superleggera,2019,AM DBS '19,Modern Exotic GT,GBR,727,7.1,3.8,3.4,5.8,533,725,715,1799,3966,899,663,RWD,F,5.2,V,12,TT,Factory,2,False,L,Door23
3364,Aston Martin,Valhalla Concept Car,2019,AM Valhalla '19,Modern Hypercars,GBR,927,8.5,6.2,6.1,10,777,1056,1042,1405,3097,1349,995,AWD,MR,3,V,6,TT,Factory,2,False,L,Door23
3091,Aston Martin,Vantage,2019,AM Vantage '19,Modern Sport GT,GBR,665,5.6,3.6,3.6,4.5,375,510,503,1585,3494,685,505,RWD,F,4,V,8,TT,Factory,2,False,R,Door23
3762,Aston Martin,#97 AMR Vantage GTE,2018,#97 Vantage GTE,Forza GT,GBR,822,4.5,6.7,6.8,6.4,400,544,536,1320,2910,700,516,RWD,F,4,V,8,TT,Race,2,False,L,Door23
2860,Aston Martin,#7 Aston Martin Racing V12 Vantage GT3,2017,AM #7 Vantage,Forza GT,GBR,833,4.7,6.7,6.8,6.4,447,608,599,1335,2943,700,516,RWD,F,5.9,V,12,NA,Race,2,False,L,Door23
3125,Aston Martin,Vanquish Zagato Coupe,2017,AM Vanquish '17,Modern Exotic GT,GBR,675,6.1,3.8,3.5,4.7,444,604,595,1765,3891,629,464,RWD,F,5.9,V,12,NA,Factory,2,False,R,Door23
3211,Aston Martin,Vulcan AMR Pro,2017,AM Vulcan AMR 17,Modern Factory Racecars,GBR,885,5.8,7.6,7.5,6.4,611,831,819,1360,2998,800,590,RWD,F,6.9,V,12,NA,Race,2,False,L,Door23
2470,Aston Martin,Vulcan,2016,AM Vulcan '16,Modern Factory Racecars,GBR,865,5.8,7.3,7.3,6.4,611,831,819,1360,2998,800,590,RWD,F,6.9,V,12,NA,Race,2,False,L,Door23
